Dimension_0,Dimension_1,Dimension_2,Dimension_3,Dimension_4,Dimension_5,Dimension_6,Dimension_7,Dimension_8,Dimension_9
-0.5096798,-0.43097562,0.32011336,0.02647839,0.30703714,0.05091597,-0.104721494,-0.25528383,0.2718275,0.45213056
0.09578329,-0.14217804,0.15658872,0.4211231,-0.3763809,-0.42714348,-0.3153493,-0.40801036,0.3791482,0.18697892
-0.3388359,0.30457115,-0.18865016,-0.16844264,0.6766392,-0.057997968,0.30220148,-0.18704574,-0.20309788,0.31575286
0.37155667,-0.24038719,-0.02197418,0.30610585,-0.62869656,-0.17941245,-0.18514444,-0.074869156,0.23742443,-0.43159416
0.087633274,-0.16544048,-0.2958566,-0.061074942,0.49824739,0.016471287,0.28381643,-0.30959344,-0.52405876,-0.41728792
-0.2691946,0.33072102,-0.056336083,-0.093256496,0.6543937,-0.3140443,0.16463797,-0.34062022,-0.06316835,0.3637503
-0.42478937,-0.4974817,0.2037557,0.14570151,0.008209812,0.18477835,-0.20577024,-0.46049616,0.12230949,0.4535994
-0.5070645,-0.59411293,0.26829183,-0.076043576,0.37304777,0.23631456,-0.032281432,-0.20567024,0.13661708,0.23481196
-0.15175699,-0.52449393,0.3410637,0.17309432,0.4272352,-0.4028079,-0.07411914,-0.37719297,0.22312033,-0.115129
0.25900358,-0.62317467,-0.07481921,0.16270871,-0.33189565,0.12122673,-0.03522142,-0.07737385,-0.04603709,-0.61506176
0.07133776,0.2375006,0.13914144,0.31730673,-0.328351,-0.48339653,-0.2956916,-0.30729428,0.35350224,0.4124884
-0.34333792,0.35020787,0.23745178,-0.23973839,-0.04386033,0.15279192,-0.010680247,0.4024316,0.23445213,0.63506967
-0.39074466,0.49953938,-0.12515868,-0.2006765,0.24644083,0.14984682,0.15336609,-0.043455627,-0.14187127,0.64274323
0.24858224,-0.008595969,-0.14381209,0.13751873,-0.87543964,0.17443429,-0.20780133,0.1520772,0.09798514,-0.16064861
-0.41763097,-0.6968879,0.29451635,0.0040062284,0.16663978,0.27000466,-0.13311602,-0.30220726,0.10496903,0.18010171
-0.46079624,-0.046954263,0.4551124,-0.34908634,0.17710279,0.25986764,-0.0756262,0.2881003,0.24026601,0.45948657
0.03488385,-0.24362333,0.08518386,-0.1971638,-0.5415086,0.46850064,-0.091743946,0.5268409,0.13444565,-0.27662715
-0.4829975,-0.3415207,0.09701373,-0.05022971,0.57512015,0.10221313,0.09549177,-0.44824007,-0.15892115,0.24826942
0.40440488,0.017017087,-0.25880218,0.2028548,-0.7459635,0.020000169,-0.11777072,0.05474189,0.048810747,-0.38977918
-0.56921554,-0.00024013483,0.12933393,-0.16038035,0.56368643,0.08143367,0.15276276,-0.086385265,0.07462286,0.5223058
-0.046928216,-0.10692789,0.089267574,0.415886,0.03609156,-0.5309333,-0.18547241,-0.56523323,0.29901174,0.28097156
-0.0702941,0.08647555,0.53854984,-0.06061645,0.056419823,-0.4176178,-0.22830088,0.3256273,0.58731884,0.11482527
0.009358654,0.032673337,0.259958,0.3221804,-0.050707027,-0.62375337,-0.24837296,-0.3362326,0.44539404,0.25041875
-0.23448351,0.43744355,0.3388538,-0.19322519,-0.16857989,-0.03422012,-0.14943404,0.33338594,0.25824338,0.6097099
0.06726438,-0.13010016,0.06329226,-0.15348633,-0.6010242,0.3687198,-0.10036183,0.5723172,0.22298072,-0.2578011
0.041195653,0.18819462,0.2535518,0.28264678,-0.22430748,-0.5519,-0.3003702,-0.2701163,0.41510764,0.35819134
-0.41263127,-0.2316591,0.3368971,-0.16383073,-0.20065908,0.44145966,-0.17473704,0.20474385,0.2700233,0.505186
